x,y,z,aream2,_CLASE
-86.95550328,20.73916231,-4.1,593.625163,Sediments
-86.95452404,20.73919098,-4.2,844.010785,Sediments
-86.95510117,20.73487783,-5.3,960.277201,Macroalgae
-86.95567958,20.73518108,MISS,314.274206,Macroalgae
-86.95437446,20.73549406,-5.9,558.702339,Macroalgae
-86.9549608,20.73538781,-5.3,3456.990173,Macroalgae
-86.95557557,20.735949,-5.4,558.708691,Macroalgae
-86.9560613,20.73638469,-5.6,1090.543418,Macroalgae
-86.95603874,20.73696504,-5.8,453.952338,Macroalgae
-86.9562337,20.73719461,MISS,1.640671,Macroalgae
-86.95618281,20.73738611,MISS,111.888882,Macroalgae
-86.95491812,20.73776308,-5.3,1309.461811,Macroalgae
-86.95374349,20.73850151,-5.6,331.726194,Macroalgae
-86.95508128,20.73857771,MISS,349.154661,Macroalgae
-86.95402403,20.73864474,-5.3,436.483015,Macroalgae
-86.95640686,20.73850722,-5.8,442.320137,Macroalgae
-86.95375438,20.73895189,-5.3,366.644622,Macroalgae
-86.95594396,20.73904899,-4.9,663.466264,Macroalgae
-86.95458844,20.7388237,-4.8,5843.161983,Macroalgae
-86.95385745,20.73479227,-6.3,413.719299,Corals
-86.95406067,20.73490155,-7.7,174.59406,Corals
-86.95548823,20.73527076,-4.9,384.112168,Corals
-86.95404123,20.7356967,-9,69.797689,Corals
-86.95482498,20.73576739,-5.9,87.297591,Corals
-86.95407954,20.73601899,-8.4,104.756309,Corals
-86.95443832,20.73599914,-6.6,645.999508,Corals
-86.95469415,20.73641975,-7.7,69.837929,Corals
-86.95602509,20.73665762,-5.3,122.217945,Corals
-86.95482471,20.73667098,-6,87.297495,Corals
-86.95571664,20.73673281,-5.4,226.975487,Corals
-86.95431491,20.73659309,-6.5,1169.780745,Corals
-86.95486691,20.73685654,-5.9,209.514033,Corals
-86.9546309,20.73685862,-5.9,244.432461,Corals
-86.9558541,20.73694213,-5.9,157.137047,Corals
-86.95621985,20.73700228,-5.6,72.5517,Corals
-86.95454862,20.73704741,-7.1,261.891672,Corals
-86.9543673,20.73732326,-6.1,104.756444,Corals
-86.95500124,20.73735957,-5.5,69.838061,Corals
-86.95454339,20.7373454,-5.9,157.134935,Corals
-86.95427119,20.7375401,-6.2,104.756315,Corals
-86.95448676,20.73757529,-5.6,157.134803,Corals
-86.95555964,20.73769412,-5.3,139.67683,Corals
-86.95588711,20.73745722,-5.8,3928.079731,Corals
-86.95636377,20.73804597,-5.3,3297.792533,Corals
-86.95517011,20.73828787,-4.7,426.290955,Corals
-86.9560265,20.73836817,-5.1,838.064209,Corals
-86.95659191,20.73851057,-5.8,9.748773,Corals
-86.95550176,20.73852767,-5,104.757459,Corals
-86.95632782,20.73857531,-5.3,279.355488,Corals
-86.95608342,20.73854289,-5.3,314.274248,Corals
-86.95438748,20.73874424,-4.6,69.837521,Corals
-86.95569907,20.73872907,-4.8,2618.941553,Corals
-86.95588585,20.73896149,-5,69.838533,Corals
-86.95554965,20.73903691,-4.2,541.246823,Corals
